time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-08 00:00:00+00:00,24,9,30,13
2026-06-09 00:00:00+00:00,12,5,30,19
2026-06-10 00:00:00+00:00,25,14,24,7
2026-06-11 00:00:00+00:00,14,7,17,10
2026-06-12 00:00:00+00:00,26,11,24,9
2026-06-13 00:00:00+00:00,20,10,1,1
2026-06-14 00:00:00+00:00,12,6,21,11
2026-06-15 00:00:00+00:00,62,23,26,7
2026-06-16 00:00:00+00:00,83,30,13,5
2026-06-17 00:00:00+00:00,26,10,28,10
2026-06-18 00:00:00+00:00,38,13,26,6
2026-06-19 00:00:00+00:00,26,5,3,3
2026-06-20 00:00:00+00:00,42,12,5,4
2026-06-21 00:00:00+00:00,50,16,1,1
