time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-28 00:00:00+00:00,33,17,25,13
2026-07-29 00:00:00+00:00,12,7,9,7
2026-07-30 00:00:00+00:00,20,8,12,4
2026-07-31 00:00:00+00:00,12,8,8,6
2026-08-01 00:00:00+00:00,17,8,4,4
2026-08-02 00:00:00+00:00,7,4,6,4
2026-08-03 00:00:00+00:00,22,11,33,7
2026-08-04 00:00:00+00:00,39,18,11,7
2026-08-05 00:00:00+00:00,20,11,39,7
2026-08-06 00:00:00+00:00,2,2,42,24
2026-08-07 00:00:00+00:00,66,7,21,20
2026-08-08 00:00:00+00:00,37,14,5,5
2026-08-09 00:00:00+00:00,4,4,14,8
2026-08-10 00:00:00+00:00,7,5,4,4
