time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-01 00:00:00+00:00,17,8,4,4
2026-08-02 00:00:00+00:00,7,4,6,4
2026-08-03 00:00:00+00:00,22,11,33,7
2026-08-04 00:00:00+00:00,39,18,11,7
2026-08-05 00:00:00+00:00,20,11,39,7
2026-08-06 00:00:00+00:00,2,2,42,24
2026-08-07 00:00:00+00:00,66,7,21,20
2026-08-08 00:00:00+00:00,37,14,5,5
2026-08-09 00:00:00+00:00,4,4,14,8
2026-08-10 00:00:00+00:00,7,5,4,4
2026-08-11 00:00:00+00:00,11,5,37,12
2026-08-12 00:00:00+00:00,20,10,96,9
2026-08-13 00:00:00+00:00,3,2,10,8
2026-08-14 00:00:00+00:00,5,5,1,1
