time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-02 00:00:00+00:00,20,11,18,8
2026-06-03 00:00:00+00:00,10,8,21,11
2026-06-04 00:00:00+00:00,7,7,11,9
2026-06-05 00:00:00+00:00,12,9,37,14
2026-06-06 00:00:00+00:00,5,4,62,8
2026-06-07 00:00:00+00:00,26,11,12,7
2026-06-08 00:00:00+00:00,24,9,30,13
2026-06-09 00:00:00+00:00,12,5,30,19
2026-06-10 00:00:00+00:00,25,14,24,7
2026-06-11 00:00:00+00:00,14,7,17,10
2026-06-12 00:00:00+00:00,26,11,24,9
2026-06-13 00:00:00+00:00,20,10,1,1
2026-06-14 00:00:00+00:00,12,6,21,11
2026-06-15 00:00:00+00:00,62,23,26,7
