time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-29 00:00:00+00:00,4,4,11,5
2026-08-30 00:00:00+00:00,5,5,18,10
2026-08-31 00:00:00+00:00,43,29,46,19
2026-09-01 00:00:00+00:00,11,8,49,12
2026-09-02 00:00:00+00:00,15,10,35,12
2026-09-03 00:00:00+00:00,15,11,31,8
2026-09-04 00:00:00+00:00,12,11,31,10
2026-09-05 00:00:00+00:00,6,5,9,4
2026-09-06 00:00:00+00:00,6,5,4,4
2026-09-07 00:00:00+00:00,20,8,33,13
2026-09-08 00:00:00+00:00,13,11,29,9
2026-09-09 00:00:00+00:00,7,7,10,7
2026-09-10 00:00:00+00:00,14,13,13,6
2026-09-11 00:00:00+00:00,7,6,19,8
