time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-26 00:00:00+00:00,14,11,8,6
2026-08-27 00:00:00+00:00,27,15,12,6
2026-08-28 00:00:00+00:00,9,8,133,15
2026-08-29 00:00:00+00:00,4,4,11,5
2026-08-30 00:00:00+00:00,5,5,18,10
2026-08-31 00:00:00+00:00,43,29,46,19
2026-09-01 00:00:00+00:00,11,8,49,12
2026-09-02 00:00:00+00:00,15,10,35,12
2026-09-03 00:00:00+00:00,15,11,31,8
2026-09-04 00:00:00+00:00,12,11,31,10
2026-09-05 00:00:00+00:00,6,5,9,4
2026-09-06 00:00:00+00:00,6,5,4,4
2026-09-07 00:00:00+00:00,20,8,33,13
2026-09-08 00:00:00+00:00,13,11,29,9
