time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-02 00:00:00+00:00,15,10,35,12
2026-09-03 00:00:00+00:00,15,11,31,8
2026-09-04 00:00:00+00:00,12,11,31,10
2026-09-05 00:00:00+00:00,6,5,9,4
2026-09-06 00:00:00+00:00,6,5,4,4
2026-09-07 00:00:00+00:00,20,8,33,13
2026-09-08 00:00:00+00:00,13,11,29,9
2026-09-09 00:00:00+00:00,7,7,10,7
2026-09-10 00:00:00+00:00,14,13,13,6
2026-09-11 00:00:00+00:00,7,6,19,8
2026-09-12 00:00:00+00:00,164,17,25,3
2026-09-13 00:00:00+00:00,10,7,6,5
2026-09-14 00:00:00+00:00,6,6,8,6
2026-09-15 00:00:00+00:00,12,9,30,14
