time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-20 00:00:00+00:00,33,13,82,21
2026-04-21 00:00:00+00:00,47,23,42,17
2026-04-22 00:00:00+00:00,105,41,60,15
2026-04-23 00:00:00+00:00,66,22,43,13
2026-04-24 00:00:00+00:00,84,29,53,16
2026-04-25 00:00:00+00:00,50,24,8,7
2026-04-26 00:00:00+00:00,53,16,12,7
2026-04-27 00:00:00+00:00,18,8,31,15
2026-04-28 00:00:00+00:00,38,25,23,9
2026-04-29 00:00:00+00:00,37,18,23,12
2026-04-30 00:00:00+00:00,35,10,54,13
2026-05-01 00:00:00+00:00,78,21,47,11
2026-05-02 00:00:00+00:00,27,10,19,4
2026-05-03 00:00:00+00:00,49,19,2,2
