time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-22 00:00:00+00:00,44,15,16,8
2026-06-23 00:00:00+00:00,71,22,16,7
2026-06-24 00:00:00+00:00,49,20,14,8
2026-06-25 00:00:00+00:00,35,8,46,12
2026-06-26 00:00:00+00:00,19,9,68,7
2026-06-27 00:00:00+00:00,24,11,8,6
2026-06-28 00:00:00+00:00,13,4,10,4
2026-06-29 00:00:00+00:00,13,8,13,11
2026-06-30 00:00:00+00:00,29,10,41,8
2026-07-01 00:00:00+00:00,13,8,29,6
2026-07-02 00:00:00+00:00,20,11,25,12
2026-07-03 00:00:00+00:00,17,6,34,11
2026-07-04 00:00:00+00:00,27,12,16,5
2026-07-05 00:00:00+00:00,13,5,9,3
