referrer,views_total,views_unique
github.com,207,51
arxiv.org,19,6
link.zhihu.com,6,2
Bing,2,2
www2.scut.edu.cn,2,2
statics.teams.cdn.office.net,2,1
Google,1,1
anonymous.4open.science,1,1
openreview.net,1,1
