time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-04 00:00:00+00:00,37,13,11,6
2026-05-05 00:00:00+00:00,30,8,46,9
2026-05-06 00:00:00+00:00,24,13,23,9
2026-05-07 00:00:00+00:00,19,7,23,9
2026-05-08 00:00:00+00:00,16,10,43,11
2026-05-09 00:00:00+00:00,32,11,28,7
2026-05-10 00:00:00+00:00,27,14,42,13
2026-05-11 00:00:00+00:00,6,6,71,8
2026-05-12 00:00:00+00:00,25,9,41,4
2026-05-13 00:00:00+00:00,36,14,21,8
2026-05-14 00:00:00+00:00,16,7,26,12
2026-05-15 00:00:00+00:00,19,10,35,14
2026-05-16 00:00:00+00:00,30,9,91,14
2026-05-17 00:00:00+00:00,8,3,24,7
