time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-30 00:00:00+00:00,35,10,54,13
2026-05-01 00:00:00+00:00,78,21,47,11
2026-05-02 00:00:00+00:00,27,10,19,4
2026-05-03 00:00:00+00:00,49,19,2,2
2026-05-04 00:00:00+00:00,37,13,11,6
2026-05-05 00:00:00+00:00,30,8,46,9
2026-05-06 00:00:00+00:00,24,13,23,9
2026-05-07 00:00:00+00:00,19,7,23,9
2026-05-08 00:00:00+00:00,16,10,43,11
2026-05-09 00:00:00+00:00,32,11,28,7
2026-05-10 00:00:00+00:00,27,14,42,13
2026-05-11 00:00:00+00:00,6,6,71,8
2026-05-12 00:00:00+00:00,25,9,41,4
2026-05-13 00:00:00+00:00,36,14,21,8
