time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-18 00:00:00+00:00,17,6,5,3
2026-07-19 00:00:00+00:00,11,6,14,9
2026-07-20 00:00:00+00:00,25,11,9,4
2026-07-21 00:00:00+00:00,27,11,48,8
2026-07-22 00:00:00+00:00,11,7,19,8
2026-07-23 00:00:00+00:00,28,15,13,7
2026-07-24 00:00:00+00:00,25,15,35,9
2026-07-25 00:00:00+00:00,340,11,14,8
2026-07-26 00:00:00+00:00,11,6,17,9
2026-07-27 00:00:00+00:00,11,10,8,5
2026-07-28 00:00:00+00:00,33,17,25,13
2026-07-29 00:00:00+00:00,12,7,9,7
2026-07-30 00:00:00+00:00,20,8,12,4
2026-07-31 00:00:00+00:00,12,8,8,6
