time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-13 00:00:00+00:00,30,12,93,15
2026-04-14 00:00:00+00:00,48,20,112,29
2026-04-15 00:00:00+00:00,20,9,80,19
2026-04-16 00:00:00+00:00,41,15,115,16
2026-04-17 00:00:00+00:00,45,12,70,13
2026-04-18 00:00:00+00:00,33,14,58,16
2026-04-19 00:00:00+00:00,34,16,104,16
2026-04-20 00:00:00+00:00,33,13,82,21
2026-04-21 00:00:00+00:00,47,23,42,17
2026-04-22 00:00:00+00:00,105,41,60,15
2026-04-23 00:00:00+00:00,66,22,43,13
2026-04-24 00:00:00+00:00,84,29,53,16
2026-04-25 00:00:00+00:00,50,24,8,7
2026-04-26 00:00:00+00:00,53,16,12,7
