referrer,views_total,views_unique
github.com,204,40
DuckDuckGo,4,1
link.zhihu.com,3,3
arxiv.org,3,2
Bing,1,1
chatgpt.com,1,1
my.feishu.cn,1,1
openreview.net,1,1
