time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-24 00:00:00+00:00,25,12,21,11
2026-05-25 00:00:00+00:00,17,8,66,12
2026-05-26 00:00:00+00:00,16,8,11,7
2026-05-27 00:00:00+00:00,24,10,45,13
2026-05-28 00:00:00+00:00,21,6,52,14
2026-05-29 00:00:00+00:00,22,11,39,12
2026-05-30 00:00:00+00:00,49,17,22,6
2026-05-31 00:00:00+00:00,14,7,19,6
2026-06-01 00:00:00+00:00,24,12,57,10
2026-06-02 00:00:00+00:00,20,11,18,8
2026-06-03 00:00:00+00:00,10,8,21,11
2026-06-04 00:00:00+00:00,7,7,11,9
2026-06-05 00:00:00+00:00,12,9,37,14
2026-06-06 00:00:00+00:00,5,4,62,8
