time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-27 00:00:00+00:00,13,8,51,17
2026-03-28 00:00:00+00:00,8,7,51,14
2026-03-29 00:00:00+00:00,63,11,26,10
2026-03-30 00:00:00+00:00,12,12,60,9
2026-03-31 00:00:00+00:00,33,15,105,18
2026-04-01 00:00:00+00:00,18,12,53,11
2026-04-02 00:00:00+00:00,25,13,90,17
2026-04-03 00:00:00+00:00,12,7,40,13
2026-04-04 00:00:00+00:00,34,18,15,7
2026-04-05 00:00:00+00:00,20,10,60,11
2026-04-06 00:00:00+00:00,19,14,89,14
2026-04-07 00:00:00+00:00,10,6,29,16
2026-04-08 00:00:00+00:00,22,13,35,15
2026-04-09 00:00:00+00:00,3,3,35,13
